iter	Passed	Remaining
584	4599	3113
585	4608	3106
586	4614	3097
587	4623	3090
588	4631	3082
589	4639	3074
590	4648	3067
591	4653	3057
592	4659	3048
593	4667	3040
594	4676	3033
595	4683	3025
596	4691	3017
597	4698	3009
598	4708	3002
599	4715	2994
600	4724	2987
601	4732	2979
602	4739	2970
603	4747	2963
604	4753	2954
605	4760	2945
606	4767	2937
607	4775	2929
608	4783	2922
609	4789	2912
610	4795	2904
611	4803	2895
612	4809	2887
613	4816	2878
614	4822	2870
615	4827	2860
616	4834	2852
617	4842	2844
618	4847	2834
619	4854	2826
620	4861	2818
621	4867	2809
622	4875	2801
623	4882	2793
624	4888	2784
625	4895	2776
626	4901	2767
627	4909	2759
628	4916	2751
629	4924	2743
630	4932	2736
631	4940	2728
632	4948	2720
633	4956	2712
634	4962	2704
635	4970	2696
636	4977	2688
637	4985	2680
638	4999	2675
639	5012	2670
640	5022	2663
641	5027	2654
642	5032	2645
643	5039	2637
644	5047	2629
645	5056	2622
646	5063	2613
647	5071	2606
648	5079	2598
649	5088	2591
650	5096	2583
651	5105	2576
652	5114	2569
653	5123	2561
654	5133	2554
655	5144	2548
656	5161	2545
657	5175	2540
658	5186	2534
659	5195	2526
660	5203	2518
661	5212	2511
662	5221	2504
663	5231	2497
664	5240	2490
665	5247	2481
666	5255	2474
667	5266	2467
668	5277	2461
669	5288	2454
670	5301	2449
671	5311	2442
672	5321	2435
673	5330	2428
674	5337	2419
675	5345	2411
676	5353	2404
677	5363	2396
678	5370	2388
679	5377	2380
680	5388	2373
681	5398	2366
682	5407	2359
683	5415	2351
684	5424	2343
685	5434	2337
686	5445	2330
687	5453	2322
688	5460	2314
689	5468	2306
690	5476	2298
691	5486	2291
692	5495	2283
693	5506	2277
694	5522	2272
695	5531	2264
696	5545	2259
697	5557	2253
698	5578	2250
699	5607	2251
700	5642	2253
701	5654	2247
702	5669	2242
703	5683	2236
704	5708	2234
705	5728	2231
706	5743	2225
707	5759	2220
708	5770	2213
709	5782	2207
710	5795	2201
711	5806	2193
712	5817	2186
713	5831	2180
714	5841	2173
715	5850	2165
716	5860	2157
717	5874	2151
718	5887	2145
719	5896	2137
720	5904	2129
721	5911	2120
722	5919	2112
723	5927	2104
724	5936	2096
725	5943	2087
726	5950	2078
727	5956	2070
728	5965	2062
729	5973	2053
730	5980	2045
731	5988	2037
732	5996	2028
733	6003	2020
734	6013	2012
735	6023	2005
736	6034	1997
737	6042	1989
738	6051	1981
739	6061	1974
740	6071	1966
741	6080	1958
742	6090	1951
743	6101	1943
744	6110	1935
745	6120	1928
746	6131	1920
747	6146	1914
748	6154	1906
749	6168	1899
750	6178	1892
751	6186	1884
752	6194	1875
753	6204	1868
754	6213	1859
755	6221	1851
756	6232	1844
757	6240	1836
758	6248	1827
759	6258	1819
760	6266	1811
761	6274	1803
762	6282	1794
763	6292	1787
764	6300	1779
765	6311	1771
766	6320	1763
767	6328	1755
768	6340	1748
769	6350	1740
770	6357	1731
771	6365	1723
772	6374	1715
773	6390	1709
774	6395	1700
775	6406	1692
776	6413	1683
777	6420	1675
778	6427	1666
779	6436	1658
780	6444	1650
781	6452	1642
782	6461	1634
783	6469	1625
784	6475	1616
785	6481	1608
786	6488	1599
787	6495	1590
788	6503	1582
789	6509	1573
790	6516	1565
791	6522	1556
792	6528	1547
793	6536	1539
794	6542	1530
795	6549	1522
796	6557	1513
797	6565	1505
798	6572	1497
799	6579	1488
800	6585	1479
801	6593	1471
802	6600	1463
803	6609	1455
804	6616	1446
805	6626	1438
806	6631	1429
807	6639	1421
808	6647	1413
809	6656	1405
810	6660	1396
811	6669	1388
812	6675	1379
813	6683	1371
814	6691	1362
815	6699	1354
816	6706	1346
817	6714	1338
818	6722	1329
819	6729	1321
820	6737	1313
821	6745	1304
822	6753	1296
823	6761	1288
824	6771	1280
825	6780	1272
826	6788	1264
827	6795	1255
828	6803	1247
829	6811	1239
830	6817	1230
831	6827	1222
832	6835	1214
833	6843	1206
834	6851	1197
835	6860	1189
836	6874	1182
837	6884	1174
838	6890	1166
839	6898	1158
840	6907	1149
841	6914	1141
842	6922	1133
843	6930	1124
844	6937	1116
845	6945	1108
846	6953	1100
847	6961	1091
848	6968	1083
849	6975	1075
850	6983	1066
851	6990	1058
852	6995	1049
853	7002	1041
854	7010	1033
855	7019	1024
856	7025	1016
857	7035	1008
858	7042	1000
859	7052	992
860	7059	983
861	7068	975
862	7075	967
863	7083	959
864	7091	950
865	7099	942
866	7107	934
867	7116	926
868	7124	918
869	7131	909
870	7140	901
871	7147	893
872	7153	884
873	7162	876
874	7169	868
875	7177	860
876	7184	851
877	7193	843
878	7202	835
879	7210	827
880	7216	819
881	7222	810
882	7229	802
883	7236	794
884	7244	785
885	7251	777
886	7259	769
887	7266	761
888	7274	752
889	7282	744
890	7290	736
891	7299	728
892	7306	720
893	7314	711
894	7322	703
895	7330	695
896	7340	687
897	7347	679
898	7353	670
899	7362	662
900	7372	654
901	7380	646
902	7391	638
903	7401	630
904	7413	622
905	7419	614
906	7427	605
907	7434	597
908	7444	589
909	7451	581
910	7456	572
911	7463	564
912	7467	556
913	7475	547
914	7482	539
915	7489	531
916	7497	523
917	7504	515
918	7510	506
919	7516	498
920	7525	490
921	7533	482
922	7541	473
923	7548	465
924	7555	457
925	7562	449
926	7569	440
927	7576	432
928	7584	424
929	7591	416
930	7601	408
931	7611	400
932	7618	391
933	7626	383
934	7636	375
935	7642	367
936	7648	359
937	7655	350
938	7661	342
939	7669	334
940	7673	326
941	7681	318
942	7687	309
943	7697	301
944	7705	293
945	7711	285
946	7720	277
947	7728	269
948	7735	260
949	7743	252
950	7753	244
951	7763	236
952	7772	228
953	7780	220
954	7787	212
955	7796	203
956	7804	195
957	7812	187
958	7820	179
959	7828	171
960	7836	163
961	7845	154
962	7854	146
963	7862	138
964	7869	130
965	7876	122
966	7887	114
967	7901	106
968	7912	97
969	7923	89
970	7934	81
971	7942	73
972	7949	65
973	7955	57
974	7964	49
975	7974	40
976	7982	32
977	7989	24
978	7995	16
979	8002	8
980	8008	0
